orgunitlevel1,orgunitlevel2,orgunitlevel3,orgunitlevel4,orgunitlevel5,organisationunitid,organisationunitname,organisationunitcode,organisationunitdescription,periodid,periodname,periodcode,perioddescription,HMIS-MIAR-MNC- Cases Antenatal Visit- First,HMIS-MIAR-MNC- Cases Antenatal Visit – Second,HMIS-MIAR-MNC- Cases Antenatal Visit – Third,HMIS-MIAR-MNC- Cases Antenatal Visit – Fourth,HMIS-MIAR-MNC- Cases Antenatal Visit – Other,HMIS-MIAR-MNC- Cases Postnatal Visit – First,HMIS-MIAR-MNC- Cases Postnatal Visit – Second,HMIS-MIAR-MNC- Cases Postnatal Visit – Other,HMIS-MIAR-OPD- New Patients/Clients,HMIS-MNC- Cases/Admit Women received uterotonic in the third stage of labor,HMIS-MNC- Cases/Admit Antepartum Hemorrhage,HMIS- Cases/Admit Postpartum Hemorrhage,HMIS-MNC- Cases/Admit Eclampsia,HMIS-MNC- Cases/Admit Pre-eclampsia,HMIS- Cases/admit Normal delivery at facility,HMIS- Cases/Admit Assisted delivery at facility,HMIS-HMIR-MNC- Admit Cesarean Section,HMIS-MNC- Cases/Admit Babies breastfeeding at 1st hours of Birth,HMIS-MNC- Cases/Admit Newborn resuscitated,HMIS-MNC- Cases/Admit Low Birth Weight,HMIS-MNC- Cases/Admit Newborn Alive,HMIS-MNC- Neonatal Death due,HMIS-MNC- Stillbirth,HMIS-MNC- Stillbirth Fresh,HMIS-MNC- Stillbirth Rotten,HMIS- Cases/Admit Sepsis,HMIS-MNC- Cases/Admit Asphyxia,HMIS-MNC- Cases/Admit Other Neonatal Complication,HMIS-MNC- Cases/Admit Premature,HMIS-MNC- Neonatal Death due preterm Birth,HMIS-MNC- Neonatal Death due Sepsis,HMIS-MNC- Neonatal Death due Other causes,HMIS-MNC- Neonatal Death due Asphyxia,HMIS- Maternal deaths at the clinics,HMIS- Total number of Neonatal deaths
Afghanistan,North East,Badakhshan,Darwaz-e-Payen (Nusai),BADARD -E-SHURIYAN FHH (9515),M7PByFxqWcx,BADARD -E-SHURIYAN FHH (9515),AF-F- 9515,,202503,March 2025,202503,,4,8,7,2,10,2,4,2,128,2,,,,,2,,,,,,2,,,,,,,,,,,,,,
Afghanistan,North East,Badakhshan,Darwaz-e-Payen (Nusai),BADARD -E-SHURIYAN FHH (9515),M7PByFxqWcx,BADARD -E-SHURIYAN FHH (9515),AF-F- 9515,,202504,April 2025,202504,,10,5,8,6,4,5,3,4,121,4,,,,,4,,,4,,,4,,,,,,,,,,,,,,
Afghanistan,North East,Badakhshan,Darwaz-e-Payen (Nusai),BADARD -E-SHURIYAN FHH (9515),M7PByFxqWcx,BADARD -E-SHURIYAN FHH (9515),AF-F- 9515,,202505,May 2025,202505,,9,8,5,8,7,4,7,3,152,2,,,,,2,,,2,,,2,,,,,,,,,,,,,,
Afghanistan,North East,Badakhshan,Darwaz-e-Payen (Nusai),BADARD -E-SHURIYAN FHH (9515),M7PByFxqWcx,BADARD -E-SHURIYAN FHH (9515),AF-F- 9515,,202506,June 2025,202506,,5,6,9,4,11,6,5,6,111,3,,,,,3,,,3,,,3,,,,,,,,,,,,,,
Afghanistan,North East,Badakhshan,Darwaz-e-Payen (Nusai),BADARD -E-SHURIYAN FHH (9515),M7PByFxqWcx,BADARD -E-SHURIYAN FHH (9515),AF-F- 9515,,202507,July 2025,202507,,11,7,4,5,5,3,2,3,190,2,,,,,2,,,2,,,2,,,,,,,,,,,,,,
Afghanistan,North East,Badakhshan,Darwaz-e-Payen (Nusai),BADARD -E-SHURIYAN FHH (9515),M7PByFxqWcx,BADARD -E-SHURIYAN FHH (9515),AF-F- 9515,,202508,August 2025,202508,,6,10,5,3,9,6,6,3,112,4,,,,,4,,,4,,,4,,,,,,,,,,,,,,
Afghanistan,North East,Badakhshan,Darwaz-e-Payen (Nusai),BADARD -E-SHURIYAN FHH (9515),M7PByFxqWcx,BADARD -E-SHURIYAN FHH (9515),AF-F- 9515,,202509,September 2025,202509,,6,6,10,1,4,4,4,5,129,4,,,,,4,,,4,,,4,,,,,,,,,,,,,,
Afghanistan,North East,Badakhshan,Darwaz-e-Payen (Nusai),BADARD -E-SHURIYAN FHH (9515),M7PByFxqWcx,BADARD -E-SHURIYAN FHH (9515),AF-F- 9515,,202510,October 2025,202510,,7,5,7,6,3,3,3,2,147,1,,,,,1,,,1,,,1,,,,,,,,,,,,,,
Afghanistan,North East,Badakhshan,Darwaz-e-Payen (Nusai),BADARD -E-SHURIYAN FHH (9515),M7PByFxqWcx,BADARD -E-SHURIYAN FHH (9515),AF-F- 9515,,202511,November 2025,202511,,12,8,6,6,10,10,6,4,123,10,,,,,10,,,10,,,10,,,,,,,,,,,,,,
Afghanistan,North East,Badakhshan,Darwaz-e-Payen (Nusai),BADARD -E-SHURIYAN FHH (9515),M7PByFxqWcx,BADARD -E-SHURIYAN FHH (9515),AF-F- 9515,,202512,December 2025,202512,,20,13,7,11,14,9,14,12,342,8,,,,,8,,,8,,2,9,,,,,,,,,,,,,,
Afghanistan,Central West,Bamyan,Yakawlang,Bandi-e-Amir-Clinic (7937),ftzTGDu45fL,Bandi-e-Amir-Clinic (7937),AF-F- 7937,,202501,January 2025,202501,,4,2,3,2,2,2,,,424,4,,,,,4,,,4,,,4,,,,,,,,,,,,,,
Afghanistan,Central West,Bamyan,Yakawlang,Bandi-e-Amir-Clinic (7937),ftzTGDu45fL,Bandi-e-Amir-Clinic (7937),AF-F- 7937,,202502,February 2025,202502,,3,3,2,,1,,,,295,,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,Central West,Bamyan,Yakawlang,Bandi-e-Amir-Clinic (7937),ftzTGDu45fL,Bandi-e-Amir-Clinic (7937),AF-F- 7937,,202503,March 2025,202503,,1,5,2,,1,1,3,1,352,1,,,,,1,,,1,,,1,,,,,,,,,,,,,,
Afghanistan,Central West,Bamyan,Yakawlang,Bandi-e-Amir-Clinic (7937),ftzTGDu45fL,Bandi-e-Amir-Clinic (7937),AF-F- 7937,,202504,April 2025,202504,,8,,3,2,,1,1,1,369,,,,,,1,,,1,,,1,,,,,,,,,,,,,,
Afghanistan,Central West,Bamyan,Yakawlang,Bandi-e-Amir-Clinic (7937),ftzTGDu45fL,Bandi-e-Amir-Clinic (7937),AF-F- 7937,,202505,May 2025,202505,,7,1,,1,4,1,2,1,401,,,,,,1,,,1,,,1,,,,,,,,,,,,,,
Afghanistan,Central West,Bamyan,Yakawlang,Bandi-e-Amir-Clinic (7937),ftzTGDu45fL,Bandi-e-Amir-Clinic (7937),AF-F- 7937,,202506,June 2025,202506,,3,4,,2,5,1,1,,383,,,,,,1,,,1,,,1,,,,,,,,,,,,,,
Afghanistan,Central West,Bamyan,Yakawlang,Bandi-e-Amir-Clinic (7937),ftzTGDu45fL,Bandi-e-Amir-Clinic (7937),AF-F- 7937,,202507,July 2025,202507,,2,4,4,2,2,,,,520,,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,Central West,Bamyan,Yakawlang,Bandi-e-Amir-Clinic (7937),ftzTGDu45fL,Bandi-e-Amir-Clinic (7937),AF-F- 7937,,202508,August 2025,202508,,2,3,4,2,4,2,,,433,2,,,,,2,,,2,,,2,,,,,,,,,,,,,,
Afghanistan,Central West,Bamyan,Yakawlang,Bandi-e-Amir-Clinic (7937),ftzTGDu45fL,Bandi-e-Amir-Clinic (7937),AF-F- 7937,,202509,September 2025,202509,,1,1,1,1,4,,,1,203,,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,Central West,Bamyan,Yakawlang,Bandi-e-Amir-Clinic (7937),ftzTGDu45fL,Bandi-e-Amir-Clinic (7937),AF-F- 7937,,202510,October 2025,202510,,,2,4,1,5,2,3,,383,2,,,4,,2,,,2,,,2,,,,,,,,,,,,,,
Afghanistan,Central West,Bamyan,Yakawlang,Bandi-e-Amir-Clinic (7937),ftzTGDu45fL,Bandi-e-Amir-Clinic (7937),AF-F- 7937,,202511,November 2025,202511,,3,1,2,,5,1,,2,817,1,,,,,1,,,1,,,1,,,,,,,,,,,,,,
Afghanistan,Central West,Bamyan,Yakawlang,Bandi-e-Amir-Clinic (7937),ftzTGDu45fL,Bandi-e-Amir-Clinic (7937),AF-F- 7937,,202512,December 2025,202512,,7,2,1,2,4,4,2,2,397,,,,,,2,,,2,,,2,,,,,,,,,,,,,,
Afghanistan,East,Nangarhar,Chaparhar,Chaparhar Lalma BHC (9160),sn2RRJIAyqm,Chaparhar Lalma BHC (9160),AF-F- 9160,,202501,January 2025,202501,,153,51,31,32,57,40,109,29,1239,,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,East,Nangarhar,Chaparhar,Chaparhar Lalma BHC (9160),sn2RRJIAyqm,Chaparhar Lalma BHC (9160),AF-F- 9160,,202502,February 2025,202502,,205,127,66,60,60,81,79,125,931,,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,North East,Badakhshan,Arghanjowa,DOAAB BHC (2064),yxVfDHdsDEC,DOAAB BHC (2064),AF-F- 2064,,202501,January 2025,202501,,26,28,30,22,33,22,21,19,968,9,,,,,9,,,9,,,9,,,,,,,,,,,,,,
Afghanistan,North East,Badakhshan,Arghanjowa,DOAAB BHC (2064),yxVfDHdsDEC,DOAAB BHC (2064),AF-F- 2064,,202502,February 2025,202502,,22,28,28,26,32,17,16,39,1038,7,,,,,7,,,7,,,7,,,,,,,,,,,,,,
Afghanistan,North East,Badakhshan,Arghanjowa,DOAAB BHC (2064),yxVfDHdsDEC,DOAAB BHC (2064),AF-F- 2064,,202503,March 2025,202503,,12,20,23,21,29,15,14,23,744,8,,,,,8,,,7,,,7,1,1,,1,,,,1,1,,,,,1
Afghanistan,North East,Badakhshan,Arghanjowa,DOAAB BHC (2064),yxVfDHdsDEC,DOAAB BHC (2064),AF-F- 2064,,202504,April 2025,202504,,24,15,21,20,37,16,19,18,722,7,,,,,7,,,7,,,7,,,,,,,,,,,,,,
Afghanistan,North East,Badakhshan,Arghanjowa,DOAAB BHC (2064),yxVfDHdsDEC,DOAAB BHC (2064),AF-F- 2064,,202505,May 2025,202505,,46,25,12,19,42,20,23,19,907,10,,,,,10,,,11,,,11,,,,,,,,,,,,,,
Afghanistan,North East,Badakhshan,Arghanjowa,DOAAB BHC (2064),yxVfDHdsDEC,DOAAB BHC (2064),AF-F- 2064,,202506,June 2025,202506,,56,25,20,10,36,17,16,26,1291,8,,,,,8,,,8,,,8,,,,,,,,,,,,,,
Afghanistan,North East,Badakhshan,Arghanjowa,DOAAB BHC (2064),yxVfDHdsDEC,DOAAB BHC (2064),AF-F- 2064,,202507,July 2025,202507,,39,38,22,15,25,22,18,21,1614,11,,,,,11,,,11,,,11,,,,,,,,,,,,,,
Afghanistan,North East,Badakhshan,Arghanjowa,DOAAB BHC (2064),yxVfDHdsDEC,DOAAB BHC (2064),AF-F- 2064,,202508,August 2025,202508,,64,26,28,20,27,20,16,15,1459,10,,,,,10,,,10,,,10,,,,,,,,,,,,,,
Afghanistan,North East,Badakhshan,Arghanjowa,DOAAB BHC (2064),yxVfDHdsDEC,DOAAB BHC (2064),AF-F- 2064,,202509,September 2025,202509,,33,32,22,15,38,18,20,13,1223,8,,,,,8,,,8,,,8,,,,,,,,,,,,,,
Afghanistan,North East,Badakhshan,Arghanjowa,DOAAB BHC (2064),yxVfDHdsDEC,DOAAB BHC (2064),AF-F- 2064,,202510,October 2025,202510,,41,28,30,20,43,18,16,20,977,12,,,,,12,,,12,,,12,,,,,,,,,,,,,,
Afghanistan,North East,Badakhshan,Arghanjowa,DOAAB BHC (2064),yxVfDHdsDEC,DOAAB BHC (2064),AF-F- 2064,,202511,November 2025,202511,,33,32,21,33,32,18,20,12,821,9,,,,,9,,,8,,,8,1,1,,1,,,1,1,1,,,,,1
Afghanistan,North East,Badakhshan,Arghanjowa,DOAAB BHC (2064),yxVfDHdsDEC,DOAAB BHC (2064),AF-F- 2064,,202512,December 2025,202512,,39,20,29,18,32,17,25,22,874,12,,,,,12,,,12,,,12,,,,,,,,,,,,,,
Afghanistan,North East,Badakhshan,Eshkashem,ESHKASHUM CHC+ (0417),OTaD7uvq1Gn,ESHKASHUM CHC+ (0417),AF-F- 0417,,202501,January 2025,202501,,61,46,42,22,87,61,62,60,5527,59,,6,,,52,,7,59,,8,59,,,,,,,,1,,,,,,
Afghanistan,North East,Badakhshan,Eshkashem,ESHKASHUM CHC+ (0417),OTaD7uvq1Gn,ESHKASHUM CHC+ (0417),AF-F- 0417,,202502,February 2025,202502,,59,44,39,38,73,40,40,68,4937,40,,1,,,35,,5,41,,4,41,,,,,,,,,,,,,,
Afghanistan,North East,Badakhshan,Eshkashem,ESHKASHUM CHC+ (0417),OTaD7uvq1Gn,ESHKASHUM CHC+ (0417),AF-F- 0417,,202503,March 2025,202503,,72,50,40,32,71,44,34,25,4094,39,,2,,,35,1,3,39,1,6,39,,1,1,,,,,,,,,,,
Afghanistan,North East,Badakhshan,Eshkashem,ESHKASHUM CHC+ (0417),OTaD7uvq1Gn,ESHKASHUM CHC+ (0417),AF-F- 0417,,202504,April 2025,202504,,80,62,41,32,67,45,32,38,3709,49,,4,,,45,,5,49,4,6,49,,1,,1,,,,1,,,,,,
Afghanistan,North East,Badakhshan,Eshkashem,ESHKASHUM CHC+ (0417),OTaD7uvq1Gn,ESHKASHUM CHC+ (0417),AF-F- 0417,,202505,May 2025,202505,,64,65,55,34,87,49,47,42,5538,38,,3,,,38,,5,42,,3,42,,1,,1,,,,,,,,,,
Afghanistan,North East,Badakhshan,Eshkashem,ESHKASHUM CHC+ (0417),OTaD7uvq1Gn,ESHKASHUM CHC+ (0417),AF-F- 0417,,202506,June 2025,202506,,72,50,67,47,71,47,32,44,4507,39,,6,,,37,2,5,45,4,5,45,,,,,,,,2,,,,,,
Afghanistan,North East,Badakhshan,Eshkashem,ESHKASHUM CHC+ (0417),OTaD7uvq1Gn,ESHKASHUM CHC+ (0417),AF-F- 0417,,202507,July 2025,202507,,61,63,52,54,98,50,46,51,5049,42,,2,,,38,,4,41,3,6,41,1,1,1,,,,,1,1,,,,,1
Afghanistan,North East,Badakhshan,Eshkashem,ESHKASHUM CHC+ (0417),OTaD7uvq1Gn,ESHKASHUM CHC+ (0417),AF-F- 0417,,202508,August 2025,202508,,43,42,52,43,103,53,39,43,3824,49,,3,,,42,5,2,49,3,1,49,,,,,,,,,,,,,,
Afghanistan,North East,Badakhshan,Eshkashem,ESHKASHUM CHC+ (0417),OTaD7uvq1Gn,ESHKASHUM CHC+ (0417),AF-F- 0417,,202509,September 2025,202509,,63,37,42,50,123,48,38,55,4124,45,1,2,,,38,3,4,46,,5,45,,,,,,,2,,,,,,,
Afghanistan,North East,Badakhshan,Eshkashem,ESHKASHUM CHC+ (0417),OTaD7uvq1Gn,ESHKASHUM CHC+ (0417),AF-F- 0417,,202510,October 2025,202510,,58,45,39,33,107,64,27,34,3096,53,,5,,1,49,6,4,56,5,2,56,,4,3,1,,3,2,1,,,,,,
Afghanistan,North East,Badakhshan,Eshkashem,ESHKASHUM CHC+ (0417),OTaD7uvq1Gn,ESHKASHUM CHC+ (0417),AF-F- 0417,,202511,November 2025,202511,,47,43,41,26,100,69,32,34,3647,53,,,1,1,50,3,4,57,7,2,57,1,,,,,3,3,1,1,,,,,1
Afghanistan,North East,Badakhshan,Eshkashem,ESHKASHUM CHC+ (0417),OTaD7uvq1Gn,ESHKASHUM CHC+ (0417),AF-F- 0417,,202512,December 2025,202512,,49,44,39,44,96,52,41,40,4408,50,,2,1,,46,,4,50,,,50,,,,,,,,,,,,,,
Afghanistan,North East,Badakhshan,Darwaz-e-Bala (Mahemay),GHUMAI FFH (9521),YoI0TzpkmHc,GHUMAI FFH (9521),AF-F- 9521,,202503,March 2025,202503,,8,8,5,4,6,3,2,8,431,2,,1,,1,3,,,3,1,1,3,1,,,,,1,,1,1,,,,,1
Afghanistan,North East,Badakhshan,Darwaz-e-Bala (Mahemay),GHUMAI FFH (9521),YoI0TzpkmHc,GHUMAI FFH (9521),AF-F- 9521,,202504,April 2025,202504,,10,10,12,4,2,4,5,3,459,2,,,,,2,,,2,,,2,,,,,,,,,,,,,,
Afghanistan,North East,Badakhshan,Darwaz-e-Bala (Mahemay),GHUMAI FFH (9521),YoI0TzpkmHc,GHUMAI FFH (9521),AF-F- 9521,,202505,May 2025,202505,,8,7,6,7,3,4,5,3,474,3,,,,,3,,,3,,,3,,,,,,,,,,,,,,
Afghanistan,North East,Badakhshan,Darwaz-e-Bala (Mahemay),GHUMAI FFH (9521),YoI0TzpkmHc,GHUMAI FFH (9521),AF-F- 9521,,202506,June 2025,202506,,6,6,5,7,4,2,1,2,396,1,,,,,1,,,1,,,1,,,,,,,,,,,,,,
Afghanistan,North East,Badakhshan,Darwaz-e-Bala (Mahemay),GHUMAI FFH (9521),YoI0TzpkmHc,GHUMAI FFH (9521),AF-F- 9521,,202507,July 2025,202507,,3,7,11,4,9,3,4,2,477,3,,,,,3,,,3,,,3,,,,,,,,,,,,,,
Afghanistan,North East,Badakhshan,Darwaz-e-Bala (Mahemay),GHUMAI FFH (9521),YoI0TzpkmHc,GHUMAI FFH (9521),AF-F- 9521,,202508,August 2025,202508,,11,2,1,8,5,5,3,1,368,3,,,,,3,,,3,,,3,,,,,,,,,,,,,,
Afghanistan,North East,Badakhshan,Darwaz-e-Bala (Mahemay),GHUMAI FFH (9521),YoI0TzpkmHc,GHUMAI FFH (9521),AF-F- 9521,,202509,September 2025,202509,,8,12,4,4,8,4,,2,190,3,,,,,3,,,3,,,3,,,,,,,,,,,,,,
Afghanistan,North East,Badakhshan,Darwaz-e-Bala (Mahemay),GHUMAI FFH (9521),YoI0TzpkmHc,GHUMAI FFH (9521),AF-F- 9521,,202510,October 2025,202510,,7,5,11,5,7,10,5,2,292,4,,1,,,4,,,4,,1,4,,,,,,,,,,,,,,
Afghanistan,North East,Badakhshan,Darwaz-e-Bala (Mahemay),GHUMAI FFH (9521),YoI0TzpkmHc,GHUMAI FFH (9521),AF-F- 9521,,202511,November 2025,202511,,8,6,8,9,9,6,5,5,362,4,,,,,4,,,4,,,4,,,,,,,,,,,,,,
Afghanistan,North East,Badakhshan,Darwaz-e-Bala (Mahemay),GHUMAI FFH (9521),YoI0TzpkmHc,GHUMAI FFH (9521),AF-F- 9521,,202512,December 2025,202512,,6,6,3,6,4,4,5,6,296,4,,1,,,4,,,4,,,4,,,,,,,,,,,,,,
Afghanistan,Central East,Logar,Mohammad Aagha,Moghulkhil-FHH (7983),iRx7r6hI0Xr,Moghulkhil-FHH (7983),AF-F- 7983,,202506,June 2025,202506,,,,,,,,,,104,,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,Central East,Logar,Mohammad Aagha,Moghulkhil-FHH (7983),iRx7r6hI0Xr,Moghulkhil-FHH (7983),AF-F- 7983,,202508,August 2025,202508,,18,7,4,2,11,1,10,5,180,,,1,,,1,,,1,,,1,,,,,,,,,,,,,,
Afghanistan,Central East,Logar,Mohammad Aagha,Moghulkhil-FHH (7983),iRx7r6hI0Xr,Moghulkhil-FHH (7983),AF-F- 7983,,202509,September 2025,202509,,15,10,7,8,4,,6,11,230,,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,Central East,Logar,Mohammad Aagha,Moghulkhil-FHH (7983),iRx7r6hI0Xr,Moghulkhil-FHH (7983),AF-F- 7983,,202510,October 2025,202510,,11,11,7,8,6,2,2,11,183,,,,,,2,,,2,,,2,,,,,,,,,,,,,,
Afghanistan,Central East,Logar,Mohammad Aagha,Moghulkhil-FHH (7983),iRx7r6hI0Xr,Moghulkhil-FHH (7983),AF-F- 7983,,202511,November 2025,202511,,7,8,8,11,12,2,8,7,142,,,,,,2,,,2,,,2,,,,,,,,,,,,,,
Afghanistan,Central East,Logar,Mohammad Aagha,Moghulkhil-FHH (7983),iRx7r6hI0Xr,Moghulkhil-FHH (7983),AF-F- 7983,,202512,December 2025,202512,,8,8,14,12,11,1,8,16,204,,,,,,1,,,1,,,1,,,,,,,,,,,,,,
Afghanistan,East,Nangarhar,Jalal Abad,Nangarhar Diabetes Treatment Center (9156),ZtVbKt4GQic,Nangarhar Diabetes Treatment Center (9156),AF-F- 9156,,202501,January 2025,202501,,,,,,,,,,2665,,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,East,Nangarhar,Jalal Abad,Nangarhar Diabetes Treatment Center (9156),ZtVbKt4GQic,Nangarhar Diabetes Treatment Center (9156),AF-F- 9156,,202502,February 2025,202502,,,,,,,,,,2718,,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,East,Nangarhar,Jalal Abad,Nangarhar Diabetes Treatment Center (9156),ZtVbKt4GQic,Nangarhar Diabetes Treatment Center (9156),AF-F- 9156,,202503,March 2025,202503,,,,,,,,,,1209,,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,East,Nangarhar,Jalal Abad,Nangarhar Diabetes Treatment Center (9156),ZtVbKt4GQic,Nangarhar Diabetes Treatment Center (9156),AF-F- 9156,,202504,April 2025,202504,,,,,,,,,,72,,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,East,Nangarhar,Jalal Abad,Nangarhar Diabetes Treatment Center (9156),ZtVbKt4GQic,Nangarhar Diabetes Treatment Center (9156),AF-F- 9156,,202505,May 2025,202505,,,,,,,,,,1005,,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,East,Nangarhar,Jalal Abad,Nangarhar Diabetes Treatment Center (9156),ZtVbKt4GQic,Nangarhar Diabetes Treatment Center (9156),AF-F- 9156,,202506,June 2025,202506,,,,,,,,,,493,,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,East,Nangarhar,Jalal Abad,Nangarhar Diabetes Treatment Center (9156),ZtVbKt4GQic,Nangarhar Diabetes Treatment Center (9156),AF-F- 9156,,202507,July 2025,202507,,,,,,,,,,506,,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,East,Nangarhar,Jalal Abad,Nangarhar Diabetes Treatment Center (9156),ZtVbKt4GQic,Nangarhar Diabetes Treatment Center (9156),AF-F- 9156,,202508,August 2025,202508,,,,,,,,,,1801,,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,East,Nangarhar,Jalal Abad,Nangarhar Diabetes Treatment Center (9156),ZtVbKt4GQic,Nangarhar Diabetes Treatment Center (9156),AF-F- 9156,,202509,September 2025,202509,,,,,,,,,,1256,,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,East,Nangarhar,Jalal Abad,Nangarhar Diabetes Treatment Center (9156),ZtVbKt4GQic,Nangarhar Diabetes Treatment Center (9156),AF-F- 9156,,202510,October 2025,202510,,,,,,,,,,765,,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,East,Nangarhar,Jalal Abad,Nangarhar Diabetes Treatment Center (9156),ZtVbKt4GQic,Nangarhar Diabetes Treatment Center (9156),AF-F- 9156,,202511,November 2025,202511,,,,,,,,,,3654,,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,East,Nangarhar,Jalal Abad,Nangarhar Diabetes Treatment Center (9156),ZtVbKt4GQic,Nangarhar Diabetes Treatment Center (9156),AF-F- 9156,,202512,December 2025,202512,,,,,,,,,,2803,,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,Central West,Bamyan,Yakawlang,Sar-e-Tarnok-Clinic (7940),w19Ulx7Sed2,Sar-e-Tarnok-Clinic (7940),AF-F- 7940,,202501,January 2025,202501,,1,3,1,1,4,2,,,832,,,,,,2,,,2,,,2,,,,,,,,,,,,,,
Afghanistan,Central West,Bamyan,Yakawlang,Sar-e-Tarnok-Clinic (7940),w19Ulx7Sed2,Sar-e-Tarnok-Clinic (7940),AF-F- 7940,,202502,February 2025,202502,,4,,2,1,2,,2,,608,,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,Central West,Bamyan,Yakawlang,Sar-e-Tarnok-Clinic (7940),w19Ulx7Sed2,Sar-e-Tarnok-Clinic (7940),AF-F- 7940,,202503,March 2025,202503,,6,3,3,4,,2,2,1,619,,,,,,2,,,2,,,2,,,,,,,,,,,,,,
Afghanistan,Central West,Bamyan,Yakawlang,Sar-e-Tarnok-Clinic (7940),w19Ulx7Sed2,Sar-e-Tarnok-Clinic (7940),AF-F- 7940,,202504,April 2025,202504,,3,4,1,4,,1,2,3,715,,,,,,1,,,1,,,1,,,,,,,,,,,,,,
Afghanistan,Central West,Bamyan,Yakawlang,Sar-e-Tarnok-Clinic (7940),w19Ulx7Sed2,Sar-e-Tarnok-Clinic (7940),AF-F- 7940,,202505,May 2025,202505,,2,3,1,3,2,2,3,,783,,,,,,2,,,2,,,2,,,,,,,,,,,,,,
Afghanistan,Central West,Bamyan,Yakawlang,Sar-e-Tarnok-Clinic (7940),w19Ulx7Sed2,Sar-e-Tarnok-Clinic (7940),AF-F- 7940,,202506,June 2025,202506,,3,3,2,,1,1,3,2,752,,1,,,,1,,,1,,,1,,,,,,,,,,,,,,
Afghanistan,Central West,Bamyan,Yakawlang,Sar-e-Tarnok-Clinic (7940),w19Ulx7Sed2,Sar-e-Tarnok-Clinic (7940),AF-F- 7940,,202507,July 2025,202507,,6,1,3,1,2,2,3,5,681,,,1,,,2,,,2,,,2,,1,1,,,,,1,,,,,,
Afghanistan,Central West,Bamyan,Yakawlang,Sar-e-Tarnok-Clinic (7940),w19Ulx7Sed2,Sar-e-Tarnok-Clinic (7940),AF-F- 7940,,202508,August 2025,202508,,4,5,3,1,,,,1,696,,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,Central West,Bamyan,Yakawlang,Sar-e-Tarnok-Clinic (7940),w19Ulx7Sed2,Sar-e-Tarnok-Clinic (7940),AF-F- 7940,,202509,September 2025,202509,,2,3,1,2,3,,1,,349,,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,Central West,Bamyan,Yakawlang,Sar-e-Tarnok-Clinic (7940),w19Ulx7Sed2,Sar-e-Tarnok-Clinic (7940),AF-F- 7940,,202510,October 2025,202510,,4,1,2,2,,1,2,5,744,,,,,,1,,,1,,,1,,,,,,,,,,,,,,
Afghanistan,Central West,Bamyan,Yakawlang,Sar-e-Tarnok-Clinic (7940),w19Ulx7Sed2,Sar-e-Tarnok-Clinic (7940),AF-F- 7940,,202511,November 2025,202511,,1,2,1,3,1,1,1,1,846,1,,,,,1,,,1,,,1,,,,,,,,,,,,,,
Afghanistan,Central West,Bamyan,Yakawlang,Sar-e-Tarnok-Clinic (7940),w19Ulx7Sed2,Sar-e-Tarnok-Clinic (7940),AF-F- 7940,,202512,December 2025,202512,,3,2,1,1,2,2,3,3,950,,,,,,2,,,2,,,2,,,,,,,,,,,,,,
Afghanistan,North East,Badakhshan,Darwaz-e-Bala (Mahemay),TANG SHEW SHC (2570),L9vyie1WZj0,TANG SHEW SHC (2570),AF-F- 2570,,202501,January 2025,202501,,7,7,4,7,13,3,4,5,602,1,,,,,1,,,1,,,1,,,,,,,,,,,,,,
Afghanistan,North East,Badakhshan,Darwaz-e-Bala (Mahemay),TANG SHEW SHC (2570),L9vyie1WZj0,TANG SHEW SHC (2570),AF-F- 2570,,202502,February 2025,202502,,4,7,7,5,9,6,6,2,688,1,,,,,1,,,1,,,1,,,,,,,,,,,,,,
Afghanistan,North East,Badakhshan,Darwaz-e-Bala (Mahemay),TANG SHEW SHC (2570),L9vyie1WZj0,TANG SHEW SHC (2570),AF-F- 2570,,202503,March 2025,202503,,3,4,6,4,14,2,3,3,640,1,,,,,1,,,1,,,1,,,,,,,,,,,,,,
